,year,stgj,State,CD,Obama,McCain,dpres
1,2008.0,1.0,AL,1,39,61,39.0
2,2008.0,1.0,AL,2,36,63,36.0
3,2008.0,1.0,AL,3,43,56,43.0
4,2008.0,1.0,AL,4,23,76,23.0
5,2008.0,1.0,AL,5,38,61,38.0
6,2008.0,1.0,AL,6,23,76,23.0
7,2008.0,1.0,AL,7,72,27,73.0
8,2008.0,2.0,AK,1,38,59,39.0
9,2008.0,3.0,AZ,1,44,54,45.0
10,2008.0,3.0,AZ,2,38,61,38.0
11,2008.0,3.0,AZ,3,42,57,42.0
12,2008.0,3.0,AZ,4,66,33,67.0
13,2008.0,3.0,AZ,5,47,52,47.0
14,2008.0,3.0,AZ,6,38,61,38.0
15,2008.0,3.0,AZ,7,57,42,57.99999999999999
16,2008.0,3.0,AZ,8,46,52,47.0
17,2008.0,4.0,AR,1,38,59,39.0
18,2008.0,4.0,AR,2,44,54,45.0
19,2008.0,4.0,AR,3,34,64,35.0
20,2008.0,4.0,AR,4,39,58,40.0
21,2008.0,5.0,CA,1,66,32,67.0
22,2008.0,5.0,CA,2,43,55,44.0
23,2008.0,5.0,CA,3,49,49,50.0
24,2008.0,5.0,CA,4,44,54,45.0
25,2008.0,5.0,CA,5,70,28,71.0
26,2008.0,5.0,CA,6,76,22,78.0
27,2008.0,5.0,CA,7,72,27,73.0
28,2008.0,5.0,CA,8,85,12,88.0
29,2008.0,5.0,CA,9,88,10,90.0
30,2008.0,5.0,CA,10,65,33,66.0
31,2008.0,5.0,CA,11,54,44,55.00000000000001
32,2008.0,5.0,CA,12,74,24,76.0
33,2008.0,5.0,CA,13,74,24,76.0
34,2008.0,5.0,CA,14,73,25,74.0
35,2008.0,5.0,CA,15,68,30,69.0
36,2008.0,5.0,CA,16,70,29,71.0
37,2008.0,5.0,CA,17,72,26,73.0
38,2008.0,5.0,CA,18,59,39,60.0
39,2008.0,5.0,CA,19,46,52,47.0
40,2008.0,5.0,CA,20,60,39,61.0
41,2008.0,5.0,CA,21,42,56,43.0
42,2008.0,5.0,CA,22,38,60,39.0
