"","Votes Cast","Liberal","Prog. Conservative","New Democratic Party","Social Credit"
"Abitibi",47144,0.332958595,0.119888003,0.030120482,0.453652639
"Algoma",33918,0.450409812,0.222035497,0.323987263,0
"Annapolis Valley-Hants",40112,0.299187276,0.501171719,0.199641005,0
"Argenteuil",34300,0.642653061,0.171690962,0.046034985,0.110204082
"Assiniboia",33795,0.294570203,0.365882527,0.330906939,0.008640331
"Athabasca",27236,0.287964459,0.586650022,0.101703628,0.023681892
"Beaches",37181,0.302089777,0.345337672,0.33137893,0
"Beauce",43354,0.350440559,0.062370254,0.004959173,0.571342898
"Beauharnois-Salaberry",40771,0.638885482,0.182973192,0.045767825,0.102769125
"Bellechasse",40282,0.436522516,0.072588253,0.008788044,0.464276848
"Berthier-Maskinonge",37826,0.574340401,0.317109924,0.022233384,0.075371438
"Blainville-Deux-Montagnes",51223,0.68104172,0.098432345,0.067782051,0.116588251
"Bonaventure-Iles-de-la-Madeleine",28932,0.545313148,0.402357251,0.0523296,0
"Bonavista-Trinity Conception",24705,0.457963975,0.240558591,0.301477434,0
"Bourassa",47866,0.625266369,0.077403585,0.037688547,0.108176994
"Bow River",41184,0.112495144,0.630657537,0.053418803,0
"Brampton-Georgetown",65261,0.341245154,0.475659276,0.177502643,0
"Brandon-Souris",36277,0.218265016,0.526724922,0.246685228,0.008324834
"Brant",49577,0.265324647,0.311071666,0.421727817,0
"Broadview-Greenwood",33204,0.279785568,0.300777015,0.397150946,0
"Bruce-Grey",40479,0.353615455,0.524197732,0.116677784,0
"Burin-St. George's",21269,0.703371103,0.111241713,0.185387183,0
"Burlington",56751,0.283695441,0.567831404,0.140949058,0
"Burnaby",51822,0.23347227,0.368935973,0.397591756,0
"Calgary, Centre",37437,0.281940326,0.590966156,0.109383765,0.013943425
"Calgary, East",46515,0.236891325,0.608835859,0.111189939,0.017306245
"Calgary, North",43567,0.247756329,0.642550554,0.097022976,0.01267014
"Calgary, South",56957,0.260529873,0.66541426,0.062924662,0.008076268
"Calgary, West",43546,0.247140954,0.65388325,0.084829835,0.011757682
"Cambridge",37553,0.263707294,0.435038479,0.295182808,0.003994355
