,CD,Incumbent,Party,Obama.2012,Romney.2012,Obama.2008,McCain.2008,state,dpres,stgj
1,1.0,"Young, Don",(R),41.2,55.3,38.1,59.7,AK,42.6943005181,2
2,1.0,"Bonner, Jo",(R),37.4,61.8,38.5,60.9,AL,37.7016129032,1
3,2.0,"Roby, Martha",(R),35.0,64.5,35.0,64.5,AL,35.175879397,1
4,3.0,"Rogers, Mike D.",(R),36.6,62.6,36.6,62.6,AL,36.8951612903,1
5,4.0,"Aderholt, Rob",(R),24.0,74.8,25.5,73.3,AL,24.2914979757,1
6,5.0,"Brooks, Mo",(R),34.9,63.9,36.3,62.6,AL,35.3238866397,1
7,6.0,"Bachus, Spencer",(R),24.7,74.3,25.0,74.1,AL,24.9494949495,1
8,7.0,"Sewell, Terri",(D),71.5,28.1,71.5,28.1,AL,71.7871485944,1
9,1.0,"Crawford, Rick",(R),36.3,61.0,39.2,58.0,AR,37.3072970195,4
10,2.0,"Griffin, Tim",(R),42.9,54.7,44.3,53.8,AR,43.9549180328,4
11,3.0,"Womack, Steve",(R),31.6,65.5,33.9,63.7,AR,32.54376931,4
12,4.0,"Cotton, Tom",(R),35.9,61.8,37.4,59.9,AR,36.7451381781,4
13,1.0,"Kirkpatrick, Ann",(D),47.9,50.4,47.8,51.0,AZ,48.7283825025,3
14,2.0,"Barber, Ron",(D),48.4,49.9,48.9,49.8,AZ,49.2370295015,3
15,3.0,"Grijalva, Raul",(D),61.4,36.9,58.2,40.7,AZ,62.4618514751,3
16,4.0,"Gosar, Paul",(R),31.0,67.2,34.4,64.2,AZ,31.5682281059,3
17,5.0,"Salmon, Matt",(R),34.6,63.8,36.3,62.6,AZ,35.162601626,3
18,6.0,"Schweikert, David",(R),38.8,59.5,41.2,57.7,AZ,39.4710071211,3
19,7.0,"Pastor, Ed",(D),71.7,26.5,64.7,34.1,AZ,73.0142566191,3
20,8.0,"Franks, Trent",(R),36.9,61.7,38.4,60.6,AZ,37.4239350913,3
21,9.0,"Sinema, Kyrsten",(D),51.1,46.6,51.3,47.4,AZ,52.3029682702,3
22,1.0,"LaMalfa, Doug",(R),40.3,56.6,42.0,53.0,CA,41.5892672859,5
23,2.0,"Huffman, Jared",(D),69.0,27.0,71.0,25.0,CA,71.875,5
24,3.0,"Garamendi, John",(D),54.3,43.1,55.0,42.0,CA,55.749486653,5
25,4.0,"McClintock, Tom",(R),39.5,57.9,43.0,54.0,CA,40.5544147844,5
26,5.0,"Thompson, Mike",(D),69.7,27.5,70.0,26.0,CA,71.70781893,5
27,6.0,"Matsui, Doris",(D),69.1,28.3,68.0,29.0,CA,70.9445585216,5
28,7.0,"Bera, Ami",(D),50.8,46.8,51.0,46.0,CA,52.0491803279,5
29,8.0,"Cook, Paul",(R),41.7,55.6,42.0,55.0,CA,42.8571428571,5
30,9.0,"McNerney, Jerry",(D),57.8,40.1,56.0,41.0,CA,59.0398365679,5
31,10.0,"Denham, Jeff",(R),50.6,47.0,50.0,47.0,CA,51.8442622951,5
32,11.0,"Miller, George",(D),67.6,30.0,69.0,28.0,CA,69.262295082,5
33,12.0,"Pelosi, Nancy",(D),84.1,12.5,84.0,13.0,CA,87.0600414079,5
34,13.0,"Lee, Barbara",(D),87.5,9.0,87.0,10.0,CA,90.6735751295,5
35,14.0,"Speier, Jackie",(D),74.2,23.6,73.0,24.0,CA,75.8691206544,5
36,15.0,"Swalwell, Eric",(D),68.0,29.8,67.0,30.0,CA,69.5296523517,5
37,16.0,"Costa, Jim",(D),58.6,39.4,57.0,40.0,CA,59.7959183673,5
38,17.0,"Honda, Michael",(D),71.9,25.5,69.0,28.0,CA,73.819301848,5
39,18.0,"Eshoo, Anna",(D),68.2,28.9,70.0,27.0,CA,70.236869207,5
40,19.0,"Lofgren, Zoe",(D),71.2,26.5,68.0,29.0,CA,72.8761514841,5
41,20.0,"Farr, Sam",(D),70.9,26.2,71.0,26.0,CA,73.017507724,5
42,21.0,"Valadao, David",(R),54.6,43.5,52.0,46.0,CA,55.6574923547,5
43,22.0,"Nunes, Devin",(R),41.6,56.6,42.0,55.0,CA,42.3625254582,5
44,23.0,"McCarthy, Kevin",(R),36.1,61.5,36.0,61.0,CA,36.987704918,5
45,24.0,"Capps, Lois",(D),54.1,43.1,56.0,41.0,CA,55.658436214,5
46,25.0,"McKeon, Buck",(R),47.8,49.7,49.0,48.0,CA,49.0256410256,5
