,year,stcd,inc,pwin,dv,dvp,fr,po1,po2,redist,dexp,rexp,dpres,stgj,cd
126,1956,101,1,1,,,0,5,2,0,,,51.34000015258789,1.0,1.0
45,1956,102,1,1,,,0,5,2,0,,,57.470001220703125,1.0,2.0
82,1956,103,1,1,,,0,5,2,0,,,69.18000030517578,1.0,3.0
117,1956,104,1,1,73.4000015258789,,0,0,0,0,,,58.75,1.0,4.0
113,1956,105,1,1,,,0,5,2,0,,,64.80999755859375,1.0,5.0
92,1956,106,1,1,,,0,5,2,0,,,56.189998626708984,1.0,6.0
99,1956,107,1,1,,78.9000015258789,0,5,2,0,,,54.84000015258789,1.0,7.0
85,1956,108,1,1,80.0999984741211,91.5999984741211,0,0,0,0,,,76.30000305175781,1.0,8.0
38,1956,109,1,1,65.9000015258789,,0,0,0,0,,,46.90999984741211,1.0,9.0
317,1956,301,0,0,45.099998474121094,46.900001525878906,0,1,0,0,,,36.959999084472656,3.0,1.0
262,1956,302,1,1,60.099998474121094,62.099998474121094,1,0,0,0,,,40.959999084472656,3.0,2.0
446,1956,401,1,1,,,0,5,2,0,,,59.25,4.0,1.0
363,1956,402,1,1,,,0,5,2,0,,,59.95000076293945,4.0,2.0
364,1956,403,1,1,61.29999923706055,,0,0,0,0,,,43.29999923706055,4.0,3.0
358,1956,404,1,1,,,0,5,2,0,,,58.810001373291016,4.0,4.0
436,1956,405,1,1,,,0,0,0,0,,,50.68000030517578,4.0,5.0
343,1956,406,1,1,,,0,0,0,0,,,54.4900016784668,4.0,6.0
523,1956,501,0,0,46.400001525878906,40.900001525878906,0,0,0,0,,,39.939998626708984,5.0,1.0
1266,1956,502,1,1,,,0,5,2,0,,,47.720001220703125,5.0,2.0
674,1956,503,1,1,68.5999984741211,65.30000305175781,0,1,0,0,,,52.70000076293945,5.0,3.0
781,1956,504,0,0,38.099998474121094,37.5,0,0,0,0,,,40.4900016784668,5.0,4.0
971,1956,505,1,1,,,0,5,2,0,,,58.70000076293945,5.0,5.0
1446,1956,506,0,0,46.29999923706055,49.099998474121094,1,0,0,0,,,51.0,5.0,6.0
1535,1956,507,0,0,47.20000076293945,47.0,0,1,0,0,,,45.619998931884766,5.0,7.0
1548,1956,508,1,1,65.5999984741211,65.4000015258789,0,0,0,0,,,48.65999984741211,5.0,8.0
1227,1956,509,0,0,39.70000076293945,45.5,0,0,0,0,,,38.880001068115234,5.0,9.0
1575,1956,510,0,0,39.29999923706055,38.79999923706055,0,0,0,0,,,39.9900016784668,5.0,10.0
595,1956,511,0,1,53.099998474121094,47.400001525878906,0,1,4,0,,,47.720001220703125,5.0,11.0
1077,1956,512,1,1,73.0,53.79999923706055,1,0,0,0,,,56.2400016784668,5.0,12.0
998,1956,513,0,0,40.400001525878906,47.5,1,0,0,0,,,41.900001525878906,5.0,13.0
955,1956,514,1,1,63.0,65.0999984741211,0,0,0,0,,,48.9900016784668,5.0,14.0
1177,1956,515,0,0,42.099998474121094,43.099998474121094,0,0,0,0,,,45.13999938964844,5.0,15.0
720,1956,516,0,0,39.20000076293945,39.20000076293945,0,0,0,0,,,37.9900016784668,5.0,16.0
875,1956,517,1,1,64.9000015258789,60.099998474121094,0,0,0,0,,,47.25,5.0,17.0
1078,1956,518,0,0,40.79999923706055,45.0,0,0,0,0,,,41.63999938964844,5.0,18.0
703,1956,519,1,1,73.80000305175781,74.80000305175781,0,1,0,0,,,61.16999816894531,5.0,19.0
1268,1956,520,3,0,29.200000762939453,28.799999237060547,9,3,6,0,,,28.5,5.0,20.0
540,1956,521,0,0,37.400001525878906,41.29999923706055,0,0,0,0,,,38.97999954223633,5.0,21.0
762,1956,522,0,0,40.20000076293945,41.79999923706055,0,0,0,0,,,40.77000045776367,5.0,22.0
1065,1956,523,1,1,70.9000015258789,72.0999984741211,0,0,0,0,,,53.61000061035156,5.0,23.0
752,1956,524,0,0,38.099998474121094,43.099998474121094,1,0,0,0,,,41.86000061035156,5.0,24.0
832,1956,525,0,0,36.20000076293945,34.79999923706055,0,0,0,0,,,36.36000061035156,5.0,25.0
1215,1956,526,1,1,68.80000305175781,60.099998474121094,1,0,0,0,,,61.349998474121094,5.0,26.0
1587,1956,527,1,1,,64.69999694824219,0,5,2,0,,,42.95000076293945,5.0,27.0
949,1956,528,0,0,35.5,33.79999923706055,0,0,0,0,,,33.16999816894531,5.0,28.0
705,1956,529,3,1,51.5,42.099998474121094,9,2,0,0,,,38.59000015258789,5.0,29.0
1274,1956,530,0,0,33.29999923706055,39.599998474121094,0,0,0,0,,,36.279998779296875,5.0,30.0
1658,1956,601,1,1,57.79999923706055,55.79999923706055,0,0,0,0,,,43.59000015258789,6.0,1.0
1601,1956,602,0,0,46.599998474121094,44.70000076293945,0,1,4,0,,,36.220001220703125,6.0,2.0
1644,1956,603,0,0,49.79999923706055,47.0,0,0,0,0,,,42.22999954223633,6.0,3.0
1685,1956,604,1,1,61.79999923706055,53.5,0,1,0,0,,,36.59000015258789,6.0,4.0
1726,1956,701,2,0,46.29999923706055,57.0,9,2,5,0,,,41.90999984741211,7.0,1.0
1866,1956,702,0,0,41.0,49.29999923706055,0,0,0,0,,,37.84000015258789,7.0,2.0
1746,1956,703,0,0,40.0,47.29999923706055,0,1,0,0,,,36.810001373291016,7.0,3.0
1797,1956,704,0,0,31.299999237060547,42.400001525878906,0,1,4,0,,,29.809999465942383,7.0,4.0
1792,1956,705,0,0,38.099998474121094,47.20000076293945,0,1,4,0,,,34.56999969482422,7.0,5.0
1826,1956,706,0,0,38.599998474121094,49.0,0,1,0,0,,,36.29999923706055,7.0,6.0
1900,1956,801,1,0,48.0,54.900001525878906,1,0,0,0,,,44.75,8.0,1.0
2301,1956,901,0,0,43.70000076293945,49.20000076293945,1,0,0,0,,,37.029998779296875,9.0,1.0
2062,1956,902,1,1,,,0,5,2,0,,,49.689998626708984,9.0,2.0
2098,1956,903,1,1,89.5999984741211,,0,0,0,0,,,64.08999633789062,9.0,3.0
2290,1956,904,1,1,60.900001525878906,,1,0,0,0,,,45.0099983215332,9.0,4.0
2081,1956,905,1,1,51.400001525878906,,0,0,0,0,,,34.619998931884766,9.0,5.0
2225,1956,906,1,1,54.70000076293945,,1,0,0,0,,,30.329999923706055,9.0,6.0
2146,1956,907,1,1,62.400001525878906,55.5,0,0,0,0,,,38.2400016784668,9.0,7.0
2270,1956,908,1,1,,,0,5,2,0,,,60.400001525878906,9.0,8.0
2439,1956,1001,1,1,,,0,5,2,0,,,58.36000061035156,10.0,1.0
2536,1956,1002,1,1,,,0,5,2,0,,,75.30999755859375,10.0,2.0
2570,1956,1003,1,1,,,0,5,2,0,,,72.01000213623047,10.0,3.0
2363,1956,1004,1,1,,,0,5,2,0,,,78.63999938964844,10.0,4.0
2412,1956,1005,1,1,59.20000076293945,64.4000015258789,0,0,0,0,,,60.72999954223633,10.0,5.0
2441,1956,1006,1,1,,,0,5,2,0,,,73.97000122070312,10.0,6.0
2443,1956,1007,1,1,,,0,5,2,0,,,59.970001220703125,10.0,7.0
2376,1956,1008,1,1,,,1,5,2,0,,,75.08000183105469,10.0,8.0
2472,1956,1009,1,1,,,0,5,2,0,,,63.20000076293945,10.0,9.0
2467,1956,1010,1,1,,,0,5,2,0,,,67.97000122070312,10.0,10.0
2691,1956,1201,1,1,55.099998474121094,54.900001525878906,0,0,0,0,,,43.27000045776367,12.0,1.0
2714,1956,1202,0,0,40.0,39.20000076293945,0,0,0,0,,,35.709999084472656,12.0,2.0
3069,1956,1301,1,1,64.4000015258789,75.30000305175781,0,0,0,0,,,63.689998626708984,13.0,1.0
2761,1956,1302,1,1,55.29999923706055,61.599998474121094,0,0,0,0,,,50.119998931884766,13.0,2.0
3263,1956,1303,1,0,48.5,53.79999923706055,1,0,0,0,,,38.81999969482422,13.0,3.0
3265,1956,1304,0,0,40.0,47.900001525878906,0,0,0,0,,,35.040000915527344,13.0,4.0
2737,1956,1305,1,1,61.79999923706055,73.19999694824219,0,0,0,0,,,49.060001373291016,13.0,5.0
2976,1956,1306,1,1,62.0,71.69999694824219,0,0,0,0,,,55.52000045776367,13.0,6.0
2872,1956,1307,1,1,71.69999694824219,78.4000015258789,1,0,0,0,,,65.80999755859375,13.0,7.0
3280,1956,1308,1,1,59.5,68.30000305175781,0,0,0,0,,,51.5,13.0,8.0
2882,1956,1309,1,1,54.0,60.400001525878906,0,0,0,0,,,45.06999969482422,13.0,9.0
2867,1956,1310,3,0,35.5,42.70000076293945,9,3,0,0,,,29.8799991607666,13.0,10.0
2825,1956,1311,0,0,44.5,49.099998474121094,0,0,0,0,,,34.61000061035156,13.0,11.0
3290,1956,1312,1,1,53.20000076293945,54.099998474121094,1,1,8,0,,,47.25,13.0,12.0
3141,1956,1313,0,0,28.399999618530273,30.399999618530273,0,0,0,0,,,26.709999084472656,13.0,13.0
2822,1956,1314,3,0,29.399999618530273,27.600000381469727,9,3,0,0,,,22.709999084472656,13.0,14.0
2845,1956,1315,0,0,35.400001525878906,37.20000076293945,0,0,0,0,,,32.33000183105469,13.0,15.0
2987,1956,1316,0,0,36.29999923706055,,0,1,0,0,,,31.8799991607666,13.0,16.0
2830,1956,1317,0,0,35.099998474121094,35.0,0,1,0,0,,,32.970001220703125,13.0,17.0
2960,1956,1318,3,0,41.20000076293945,42.5,9,0,0,0,,,36.4900016784668,13.0,18.0
3033,1956,1319,0,0,44.20000076293945,43.5,0,1,4,0,,,40.119998931884766,13.0,19.0
3103,1956,1320,0,0,40.400001525878906,37.099998474121094,0,0,0,0,,,39.29999923706055,13.0,20.0
2916,1956,1321,1,1,53.5,54.79999923706055,0,0,0,0,,,42.11000061035156,13.0,21.0
2738,1956,1322,0,0,37.70000076293945,38.0,0,0,0,0,,,38.2599983215332,13.0,22.0
3011,1956,1323,0,0,47.400001525878906,47.099998474121094,0,0,0,0,,,40.47999954223633,13.0,23.0
2777,1956,1324,1,1,68.19999694824219,69.0999984741211,0,0,0,0,,,56.040000915527344,13.0,24.0
2775,1956,1325,1,1,53.79999923706055,52.599998474121094,1,0,0,0,,,44.06999969482422,13.0,25.0
3395,1956,1401,1,1,52.70000076293945,61.599998474121094,0,0,0,0,,,47.810001373291016,14.0,1.0
3538,1956,1402,0,0,37.599998474121094,40.400001525878906,0,1,8,0,,,31.579999923706055,14.0,2.0
3460,1956,1403,3,0,46.900001525878906,49.400001525878906,9,0,0,0,,,41.630001068115234,14.0,3.0
3559,1956,1404,0,0,36.400001525878906,39.900001525878906,0,0,0,0,,,31.950000762939453,14.0,4.0
3341,1956,1405,0,0,43.29999923706055,46.5,0,0,0,0,,,39.79999923706055,14.0,5.0
3507,1956,1406,0,0,44.900001525878906,47.5,0,0,0,0,,,40.9900016784668,14.0,6.0
